Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
258,Stanley Johnson\johnsst04,PF,24,TOR,56,9,15.2,1.1,3.0,.373,0.6,1.8,.320,0.5,1.2,.455,.470,0.4,0.5,.833,0.4,1.8,2.3,1.3,0.8,0.3,0.8,1.9,3.3
259,Tyler Johnson\johnsty01,SG,28,BRK,36,3,17.4,1.8,4.7,.388,1.3,3.4,.363,0.6,1.3,.457,.521,0.5,0.6,.857,0.2,1.8,1.9,1.1,0.4,0.0,0.4,1.0,5.4
260,Nikola Jokic\jokicni01,C,25,DEN,66,66,35.0,10.2,18.1,.565,1.4,3.4,.405,8.9,14.8,.602,.603,4.6,5.3,.858,2.8,8.1,10.9,8.4,1.4,0.7,3.1,2.7,26.4
261,Damian Jones\jonesda03,C,25,TOT,33,8,11.9,1.3,1.9,.694,0.0,0.1,.000,1.3,1.8,.717,.694,1.0,1.3,.762,0.8,1.7,2.4,0.5,0.3,0.5,0.5,1.8,3.6
262,Derrick Jones Jr.\jonesde02,SF,23,POR,56,43,23.0,2.5,5.3,.481,0.8,2.4,.323,1.8,2.9,.611,.554,1.0,1.6,.636,1.4,2.3,3.6,0.8,0.6,1.0,0.6,2.2,6.8
263,Mason Jones\jonesma05,SG,22,TOT,32,1,10.4,1.6,3.8,.423,0.8,2.1,.364,0.9,1.8,.491,.520,1.3,2.0,.625,0.2,1.5,1.7,1.3,0.2,0.0,0.9,0.8,5.3
264,Tre Jones\jonestr01,PG,21,SAS,32,1,6.3,0.9,1.9,.468,0.1,0.1,.750,0.8,1.8,.448,.492,0.3,0.3,1.000,0.2,0.3,0.5,0.8,0.2,0.0,0.4,0.3,2.2
265,Tyus Jones\jonesty01,PG,24,MEM,64,8,17.8,2.6,6.1,.433,0.7,2.1,.318,2.0,4.0,.492,.487,0.6,0.6,.902,0.3,1.7,2.0,3.8,1.0,0.1,0.7,0.5,6.5
266,DeAndre Jordan\jordade01,C,32,BRK,56,43,22.2,3.4,4.4,.763,0.0,0.0,.000,3.4,4.4,.766,.763,0.8,1.6,.500,2.1,5.5,7.6,1.6,0.3,1.2,1.5,2.1,7.6
267,Cory Joseph\josepco01,PG,29,TOT,61,11,22.9,3.1,6.7,.471,0.7,2.1,.339,2.4,4.6,.530,.523,1.2,1.4,.816,0.6,1.9,2.5,3.4,1.0,0.3,1.2,2.2,8.2
268,Mfiondu Kabengele\kabenmf01,PF,23,TOT,33,0,5.5,0.6,1.7,.339,0.3,1.0,.265,0.3,0.7,.455,.420,0.3,0.3,.818,0.1,0.8,0.8,0.4,0.2,0.2,0.3,0.9,1.7
269,Frank Kaminsky\kaminfr01,C,27,PHO,41,13,14.5,2.5,5.2,.486,0.7,1.9,.390,1.8,3.3,.540,.556,0.7,1.2,.580,0.7,3.0,3.7,1.5,0.3,0.4,0.4,1.3,6.5
270,Enes Kanter\kanteen01,C,28,POR,66,35,25.0,4.9,8.0,.609,0.0,0.0,.000,4.9,8.0,.610,.609,1.8,2.3,.780,4.1,7.1,11.2,1.2,0.5,0.7,1.1,2.4,11.5
271,Luke Kennard\kennalu01,SG,24,LAC,59,15,19.5,3.1,6.4,.478,1.6,3.5,.461,1.5,2.9,.497,.603,0.4,0.5,.828,0.3,2.4,2.6,1.7,0.3,0.2,0.8,1.5,8.2
272,Louis King\kinglo02,F,21,SAC,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Maxi Kleber\klebima01,PF,29,DAL,48,40,27.3,2.4,5.5,.425,1.8,4.3,.415,0.6,1.3,.459,.585,0.7,0.8,.919,0.9,4.3,5.2,1.3,0.5,0.7,0.6,2.2,7.2
274,Nathan Knight\knighna01,PF,23,ATL,31,0,8.0,1.0,2.8,.352,0.2,0.9,.172,0.8,1.9,.441,.381,1.4,1.6,.843,0.8,1.2,2.0,0.2,0.3,0.3,0.5,0.7,3.5
275,Kevin Knox\knoxke01,SF,21,NYK,41,0,11.3,1.4,3.5,.392,0.9,2.2,.393,0.5,1.3,.389,.514,0.4,0.5,.800,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9,4.0
276,John Konchar\konchjo01,SG,24,MEM,38,0,13.2,1.4,3.0,.469,0.4,1.2,.364,1.0,1.8,.536,.540,0.5,0.6,.833,0.7,2.1,2.8,1.1,0.8,0.2,0.4,0.9,3.7
277,Furkan Korkmaz\korkmfu01,SG,23,PHI,52,10,19.3,3.1,7.7,.408,1.9,4.8,.385,1.3,2.8,.446,.529,1.1,1.6,.728,0.3,1.8,2.0,1.4,0.9,0.2,0.8,1.2,9.3
278,Luke Kornet\kornelu01,C-PF,25,TOT,26,0,9.9,1.2,2.8,.432,0.5,1.8,.292,0.7,1.0,.692,.527,0.1,0.2,.500,0.4,1.5,1.9,0.7,0.1,0.8,0.2,0.5,3.1
279,Rodions Kurucs\kurucro01,SF-PF,22,TOT,21,0,6.0,0.5,1.5,.344,0.3,1.0,.286,0.2,0.5,.455,.438,0.1,0.2,.750,0.2,0.9,1.1,0.5,0.4,0.2,0.6,0.8,1.5
280,Kyle Kuzma\kuzmaky01,SF,25,LAL,63,31,28.7,4.9,11.2,.439,2.1,5.7,.363,2.9,5.5,.519,.532,1.0,1.4,.701,1.7,4.6,6.2,1.8,0.5,0.6,1.7,1.8,12.9
281,Anthony Lamb\lamban01,SF,23,HOU,18,0,12.8,1.5,4.2,.355,0.8,2.6,.304,0.7,1.7,.433,.447,0.7,0.7,.923,1.0,1.2,2.2,0.5,0.2,0.2,0.5,1.2,4.4
282,Jeremy Lamb\lambje01,SG,28,IND,36,8,21.3,3.3,7.7,.435,1.4,3.6,.406,1.9,4.1,.459,.529,2.0,2.1,.947,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2.0,10.1
283,Romeo Langford\langfro01,SG,21,BOS,14,3,15.4,0.9,2.9,.317,0.3,1.1,.267,0.6,1.9,.346,.366,0.3,0.3,1.000,0.8,1.3,2.1,0.6,0.3,0.3,0.6,1.2,2.4
284,Zach LaVine\lavinza01,SG,25,CHI,54,54,35.1,9.7,19.3,.505,3.4,8.2,.416,6.3,11.0,.572,.594,4.3,5.1,.848,0.6,4.5,5.1,5.0,0.8,0.5,3.6,2.3,27.2
285,Jake Layman\laymaja01,SF,26,MIN,42,11,14.3,2.1,4.2,.497,0.5,1.7,.288,1.6,2.4,.647,.557,0.6,0.9,.703,0.3,1.2,1.5,0.7,0.7,0.4,0.6,1.0,5.3
286,T.J. Leaf\leaftj01,PF,23,POR,4,0,5.8,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.5,0.5,1.000,0.0,0.8,0.8,0.0,0.5,0.3,0.3,0.3,2.5
287,Jalen Lecque\lecquja01,PG,20,IND,4,0,3.0,0.3,2.3,.111,0.0,0.3,.000,0.3,2.0,.125,.111,0.8,0.8,1.000,0.5,0.8,1.3,0.5,0.0,0.0,0.0,0.0,1.3
288,Damion Lee\leeda03,SG,28,GSW,57,1,18.9,2.2,4.8,.467,1.4,3.4,.397,0.9,1.4,.638,.608,0.7,0.8,.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5
289,Saben Lee\leesa01,PG,21,DET,43,7,15.4,1.9,4.2,.453,0.2,0.5,.381,1.7,3.7,.462,.475,1.2,1.8,.649,0.4,1.6,2.0,3.5,0.6,0.3,1.1,1.6,5.1
290,Alex Len\lenal01,C,27,TOT,59,37,15.4,2.8,4.4,.629,0.1,0.4,.320,2.6,4.0,.662,.645,1.2,1.9,.616,1.2,2.7,3.9,0.8,0.3,1.0,0.9,2.0,6.8
291,Kawhi Leonard\leonaka01,SF,29,LAC,49,49,34.2,9.1,17.6,.516,1.9,4.9,.396,7.1,12.7,.562,.571,4.9,5.6,.880,1.1,5.5,6.6,5.1,1.6,0.4,2.0,1.6,25.0
292,Meyers Leonard\leoname01,C,28,MIA,3,2,9.7,1.0,2.3,.429,1.0,2.3,.429,0.0,0.0,,.643,0.3,0.7,.500,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3
293,Caris LeVert\leverca01,SG,26,TOT,42,34,31.1,7.5,17.0,.443,1.8,5.4,.329,5.8,11.6,.495,.494,2.9,3.6,.797,0.7,3.7,4.4,4.9,1.4,0.7,2.0,2.2,19.7
294,Kira Lewis Jr.\lewiski01,PG,19,NOP,48,0,16.1,2.3,6.1,.385,0.8,2.2,.340,1.6,3.9,.411,.447,0.6,0.7,.800,0.2,1.0,1.1,2.3,0.7,0.2,0.6,1.5,6.0
295,Damian Lillard\lillada01,PG,30,POR,61,61,35.8,8.8,20.0,.440,4.1,10.7,.384,4.7,9.4,.503,.542,6.7,7.2,.925,0.5,3.7,4.2,7.6,1.0,0.3,3.1,1.6,28.4
296,Nassir Little\littlna01,PF,20,POR,45,2,13.7,1.6,3.6,.453,0.6,1.8,.354,1.0,1.8,.549,.540,0.8,1.0,.800,0.7,2.0,2.7,0.5,0.1,0.3,0.4,1.1,4.7
297,Kevon Looney\looneke01,C,24,GSW,56,29,18.4,1.8,3.2,.553,0.1,0.3,.235,1.7,2.9,.586,.564,0.4,0.7,.658,1.9,3.0,4.8,1.9,0.4,0.4,0.6,2.1,4.1
298,Brook Lopez\lopezbr01,C,32,MIL,65,65,27.2,4.4,9.0,.491,1.4,4.1,.343,3.0,4.8,.616,.569,1.6,1.9,.851,1.4,3.5,4.9,0.8,0.6,1.5,0.9,2.2,11.8
299,Robin Lopez\lopezro01,C,32,WAS,66,9,19.2,3.6,5.7,.638,0.1,0.3,.278,3.6,5.4,.656,.645,1.5,2.1,.723,2.0,1.9,3.8,0.8,0.2,0.7,1.0,1.5,8.8
300,Kevin Love\loveke01,PF,32,CLE,23,23,24.4,4.0,9.9,.401,2.2,6.2,.350,1.8,3.7,.488,.511,1.5,1.9,.814,0.7,6.3,7.0,2.5,0.6,0.1,1.5,1.0,11.6
301,Kyle Lowry\lowryky01,PG,34,TOR,46,46,34.8,5.7,13.0,.436,2.8,7.2,.396,2.8,5.8,.487,.546,3.0,3.5,.875,0.8,4.6,5.4,7.3,1.0,0.3,2.7,3.1,17.2
302,Timoth? Luwawu-Cabarrot\luwawti0,SF,25,BRK,55,7,18.8,2.3,6.3,.364,1.3,4.3,.315,1.0,2.1,.465,.470,0.6,0.8,.814,0.5,1.8,2.3,1.2,0.6,0.1,0.8,1.8,6.6
303,Trey Lyles\lylestr01,PF,25,SAS,23,9,15.6,1.9,3.9,.478,0.6,1.7,.350,1.3,2.2,.580,.556,0.7,1.0,.652,0.4,3.3,3.7,0.6,0.3,0.0,0.3,0.6,5.0
304,Will Magnay\magnawi01,C,22,NOP,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
305,Thon Maker\makerth01,C,23,CLE,8,0,9.5,1.3,2.3,.556,0.0,0.3,.000,1.3,2.0,.625,.556,1.3,1.4,.909,1.0,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
306,Théo Maledon\maledth01,PG,19,OKC,61,45,27.6,3.4,9.3,.368,1.6,4.7,.339,1.8,4.6,.398,.454,1.6,2.1,.760,0.4,2.9,3.3,3.5,0.9,0.2,2.2,2.0,10.1
307,Karim Mané\maneka01,PG,20,ORL,10,0,8.8,0.3,1.3,.231,0.1,0.2,.500,0.2,1.1,.182,.269,0.4,0.5,.800,0.1,1.3,1.4,0.4,0.0,0.2,0.3,1.0,1.1
308,Terance Mann\mannte01,SG,24,LAC,64,10,19.0,2.5,5.2,.489,0.6,1.4,.409,2.0,3.8,.518,.544,1.1,1.3,.821,0.9,2.8,3.7,1.6,0.4,0.2,0.6,1.9,6.7
309,Nico Mannion\mannini01,PG,19,GSW,28,1,11.4,1.3,3.6,.347,0.7,1.9,.358,0.6,1.7,.333,.441,0.7,0.9,.800,0.1,1.2,1.3,2.1,0.6,0.0,1.0,0.9,3.9
310,Boban Marjanovic\marjabo01,C,32,DAL,28,3,9.0,2.0,4.0,.504,0.0,0.2,.000,2.0,3.8,.533,.504,1.0,1.2,.824,1.6,2.8,4.4,0.3,0.1,0.2,0.4,1.0,5.1
311,Lauri Markkanen\markkla01,PF,23,CHI,45,25,26.2,5.0,10.6,.476,2.3,5.9,.389,2.7,4.7,.586,.584,1.5,1.8,.840,0.8,4.6,5.4,0.9,0.5,0.3,1.0,1.4,13.8
312,Naji Marshall\marshna01,SF,23,NOP,26,4,19.8,2.0,5.2,.378,0.8,2.3,.373,1.1,2.9,.382,.459,1.7,2.4,.694,0.3,3.8,4.1,2.6,0.8,0.3,0.9,1.7,6.4
313,Caleb Martin\martica02,SF,25,CHO,49,3,15.3,1.9,4.9,.381,0.6,2.3,.254,1.3,2.6,.496,.441,0.8,1.2,.623,0.6,2.1,2.8,1.2,0.7,0.2,0.7,1.1,5.1
314,Cody Martin\martico01,SF,25,CHO,52,10,16.3,1.6,3.6,.441,0.3,1.1,.276,1.3,2.5,.515,.484,0.5,0.8,.581,1.0,2.1,3.1,1.7,0.7,0.2,0.8,1.0,4.0
315,Jeremiah Martin\martije02,PG,24,CLE,4,0,5.8,1.0,2.8,.364,0.3,1.3,.200,0.8,1.5,.500,.409,0.0,0.8,.000,0.0,0.5,0.5,0.5,0.5,0.0,0.8,0.3,2.3
316,Kelan Martin\martike03,SF,25,IND,29,0,6.7,1.1,2.7,.410,0.3,1.1,.323,0.8,1.6,.468,.474,0.2,0.3,.875,0.3,1.3,1.7,0.4,0.2,0.2,0.3,0.7,2.8
317,Kenyon Martin Jr.\martike04,SF,20,HOU,39,2,21.6,3.1,5.9,.517,0.4,1.4,.309,2.6,4.5,.582,.554,1.3,1.8,.739,1.7,3.2,4.9,0.7,0.6,0.9,0.7,1.8,7.9
318,Frank Mason III\masonfr01,PG,26,ORL,4,1,19.8,2.3,6.0,.375,0.5,1.3,.400,1.8,4.8,.368,.417,1.3,1.8,.714,0.8,2.3,3.0,3.0,0.0,0.0,1.3,1.8,6.3
319,Garrison Mathews\mathega01,SG,24,WAS,59,22,16.6,1.6,3.8,.417,1.2,3.1,.391,0.4,0.7,.538,.578,1.4,1.5,.890,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.7,5.7
320,Dakota Mathias\mathida01,SG,25,PHI,8,2,15.4,2.4,6.0,.396,1.0,3.3,.308,1.4,2.8,.500,.479,0.3,0.8,.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6.0
321,Wesley Matthews\matthwe02,SG,34,LAL,52,7,19.4,1.5,4.3,.342,1.1,3.4,.326,0.4,0.9,.404,.471,0.6,0.7,.838,0.3,1.3,1.5,0.9,0.6,0.3,0.4,1.4,4.6
322,Tyrese Maxey\maxeyty01,SG,20,PHI,56,6,14.4,3.0,6.7,.456,0.5,1.6,.283,2.6,5.0,.512,.491,0.8,0.9,.865,0.2,1.3,1.5,1.7,0.3,0.2,0.7,1.2,7.3
323,Skylar Mays\mayssk01,SG,23,ATL,31,0,7.7,1.2,2.7,.424,0.4,1.1,.343,0.8,1.6,.480,.494,0.7,0.8,.880,0.3,0.7,1.0,0.7,0.5,0.0,0.3,0.5,3.4
324,Patrick McCaw\mccawpa01,SF,25,TOR,5,0,6.6,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.6,0.6,1.000,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.2,1.0
325,CJ McCollum\mccolcj01,SG,29,POR,41,41,33.8,8.5,18.8,.453,3.5,9.0,.392,5.0,9.7,.509,.547,2.3,2.8,.823,0.7,3.4,4.1,4.8,1.0,0.5,1.4,2.0,22.8
326,T.J. McConnell\mccontj01,PG,28,IND,63,2,25.5,3.8,6.9,.558,0.2,0.7,.326,3.6,6.2,.583,.574,0.4,0.7,.659,0.8,2.7,3.6,6.5,1.8,0.3,1.9,1.6,8.3
327,Jaden McDaniels\mcdanja02,PF,20,MIN,59,25,23.9,2.6,5.8,.443,1.2,3.1,.370,1.4,2.7,.528,.542,0.4,0.7,.605,0.8,2.9,3.7,1.1,0.6,0.9,0.7,2.7,6.8
328,Jalen McDaniels\mcdanja01,SF,23,CHO,41,12,17.9,2.6,5.7,.461,0.7,2.0,.345,1.9,3.6,.527,.524,0.9,1.3,.660,0.8,2.5,3.3,1.0,0.6,0.4,1.0,2.0,6.8
329,Doug McDermott\mcderdo01,PF,29,IND,60,23,24.4,5.2,9.9,.531,1.6,4.2,.385,3.6,5.7,.640,.613,1.2,1.5,.822,1.0,2.5,3.5,1.3,0.3,0.1,0.8,1.7,13.3
330,Sean McDermott\mcderse01,SF,24,MEM,18,0,8.8,0.7,1.8,.394,0.3,1.2,.227,0.4,0.6,.727,.470,0.4,0.4,1.000,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2
331,JaVale McGee\mcgeeja01,C,33,TOT,41,1,14.6,3.1,6.1,.518,0.1,0.5,.227,3.0,5.5,.546,.528,1.0,1.6,.662,1.6,3.4,5.0,0.9,0.4,1.2,1.4,2.6,7.5
332,Rodney McGruder\mcgruro01,SG,29,DET,16,2,12.1,2.3,4.4,.529,0.7,1.5,.458,1.6,2.9,.565,.607,0.4,0.5,.750,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7
333,Alfonzo McKinnie\mckinal01,SF,28,LAL,36,0,6.6,1.2,2.3,.512,0.4,1.0,.417,0.8,1.3,.583,.601,0.3,0.5,.529,0.6,0.8,1.4,0.2,0.1,0.0,0.1,0.7,3.1
334,Jordan McLaughlin\mclaujo01,PG,24,MIN,45,2,18.7,2.0,4.8,.406,0.6,1.7,.372,1.3,3.1,.424,.472,0.4,0.5,.750,0.4,1.7,2.1,4.0,1.0,0.1,1.0,0.9,5.0
335,Ben McLemore\mclembe01,SG,27,TOT,47,5,17.0,2.6,7.0,.369,1.9,5.4,.344,0.7,1.7,.449,.500,0.8,1.1,.736,0.3,1.6,2.0,0.8,0.5,0.2,0.9,1.7,7.9
336,Nicolò Melli\mellini01,PF,30,TOT,40,4,12.1,0.9,2.9,.310,0.4,1.7,.250,0.5,1.2,.396,.384,0.3,0.5,.684,0.6,2.0,2.6,1.0,0.3,0.1,0.3,1.4,2.6
337,De'Anthony Melton\meltode01,PG,22,MEM,46,1,20.3,3.5,7.8,.445,1.7,4.0,.425,1.7,3.7,.468,.556,0.8,1.0,.783,0.6,2.6,3.3,2.6,1.2,0.6,1.3,1.7,9.4
338,Sam Merrill\merrisa01,SG,24,MIL,27,1,7.4,1.1,2.3,.484,0.7,1.5,.488,0.4,0.8,.476,.645,0.1,0.1,1.000,0.2,0.8,1.0,0.7,0.2,0.0,0.4,0.6,3.1
339,Chimezie Metu\metuch01,C,23,SAC,30,2,11.1,2.2,4.1,.541,0.2,0.6,.294,2.0,3.5,.581,.561,0.8,1.1,.697,0.9,1.7,2.6,0.7,0.4,0.5,0.7,1.6,5.3
340,Khris Middleton\middlkh01,SF,29,MIL,63,63,33.5,7.5,15.9,.475,2.3,5.3,.425,5.3,10.6,.500,.546,3.1,3.4,.894,0.8,5.2,6.0,5.5,1.1,0.1,2.7,2.4,20.4
341,Darius Miller\milleda01,SF,30,OKC,18,0,10.9,1.2,2.7,.458,0.9,2.3,.405,0.3,0.3,.833,.635,0.7,0.7,1.000,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
342,Patty Mills\millspa02,PG,32,SAS,62,0,25.0,3.8,9.1,.414,2.4,6.4,.374,1.4,2.7,.509,.545,1.0,1.1,.901,0.3,1.5,1.7,2.4,0.6,0.0,0.9,1.2,11.0
343,Paul Millsap\millspa01,PF,35,DEN,52,35,20.9,3.4,7.1,.476,0.9,2.5,.341,2.5,4.6,.550,.536,1.2,1.7,.716,1.4,3.4,4.8,1.7,0.8,0.7,0.8,2.0,8.8
344,Shake Milton\miltosh01,SG,24,PHI,58,3,23.3,4.8,10.8,.450,1.2,3.2,.358,3.7,7.6,.489,.503,2.3,2.8,.834,0.5,1.7,2.3,3.0,0.6,0.3,1.7,2.1,13.2
345,Donovan Mitchell\mitchdo01,PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4
346,Adam Mokoka\mokokad01,SG,22,CHI,13,0,4.2,0.5,1.4,.389,0.1,0.8,.100,0.5,0.6,.750,.417,0.0,0.1,.000,0.1,0.3,0.4,0.4,0.2,0.1,0.3,0.4,1.2
